year,notifications
1913,117139
1914,99497
1915,90592
1916,90908
1917,89685
1918,90573
1919,77511
1920,73332
1921,71702
1922,69259
1923,75501
1924,76448
1925,77773
1926,74820
1927,71745
1928,71024
1929,69178
1930,67401
1931,65882
1932,62078
1933,58577
1934,56728
1935,52070
1936,51604
1937,52291
1938,50689
1939,46205
1940,46572
1941,50964
1942,52619
1943,54342
1944,54313
1945,52109
1946,51289
1947,51725
1948,52576
1949,52041
1950,49358
1951,49439
1952,48093
1953,46546
1954,42348
1955,38134
1956,35504
1957,32669
1958,29838
1959,27100
1960,23605
1961,21747
1962,20519
1963,18937
1964,17599
1965,16103
1966,14601
1967,13206
1968,12954
1969,12165
1970,11901
1971,11697
1972,11073
1973,11156
1974,10677
1975,10818
1976,10098
1977,9520
1978,10312
1979,9266
1980,9142
1981,8128
1982,7410
1983,6803
1984,6141
1985,5857
1986,5993
1987,5086
1988,5164
1989,5432
1990,5204
1991,5436
1992,5799
1993,5921
1994,5591
1995,5608
1996,5654
1997,5859
1998,6087
1999,6144
2000,6225
2001,6349
2002,6821
2003,6784
2004,7097
2005,7819
2006,7841
2007,7754
2008,7918
2009,8269
2010,7796
2011,8371
2012,8169
2013,7365
2014,6571
2015,5830
2016,5748
